Location,Website,Business Activity,Phone Number
17 ORCHARD ST PORT ROBINSON ON L0S1K0 CA,aqueductwater.com,Water Supply & Water Treatment,19057141621.0
2A-1100 ROLAND ST THUNDER BAY ON P7B5M4 CA,northwoodshealthcentre.com,Pediatrists,18075773525.0
BOX 14 WINNIPEG,descoautomotive.com,Auto Services,12042222326
81 HIGHBURY AVE ST. THOMAS ON N5P4J4 CA,wiebetrans.com,Limousines,15196372700.0
103-711 SAINT-JOSEPH BOUL ROBERVAL QC G8L2L3 CA,cinemachaplin.ca,Cinemas & Video Theaters,14182750317
PO BOX 99 KENTON MB R0M0Z0 CA,kandboilfieldservices.com,Oil & Gas - Extraction & Distribution,19034521979.0
18 NAPIER ST SOUTH STORMONT ON K0C1M0 CA,coffeyscoffee.com,Coffee & Tea Shops,
620 MAHONEY ROAD NORTH R.R. 2 TIMMINS ON P4R0H6 CA,timminshumanesociety.ca,Salvage Merchandise & Thrift Stores,17052641816.0
481 SACRE-COEUR O ALMA QC G8B1M4 CA,domainedesaines.com,Retirement Planning,14186684071
48 FRANKLIN CRT BRAMPTON ON L6T3Z1 CA,firm-on-welding-ltd.business.site,Welding Services,16478709104.0
PO BOX 178 MONTROSE BC V0G1P0 CA,kevflanagan.wordpress.com,,35391565886.0
210-9800 BOULEVARD CAVENDISH MONTRÉAL QC H4M2V9 CA,cyframe.com,Tech Companies,18556930999.0
1549 FARROW CRES INNISFIL ON L9S0L6 CA,yp.ca,"Alarms, Surveillance & Security Systems",14032532853
5919 103A ST NW EDMONTON AB T6H2J7 CA,fixauto.com,Auto Body Shops,6494449362.0
5919 103A ST NW EDMONTON AB T6H2J7 CA,fixauto.com,Auto Body Shops,6494449362.0
3876 OLAND BLVD MISSISSAUGA ON L5M5M9 CA,adopt-home.com,Waterproofing Services,16472019807.0
6529 RUE DE LANAUDIÈRE MONTRÉAL QC H2G3B1 CA,entracterenovation.com,Contractor,15143864274.0
15-7250 KEELE ST VAUGHAN ON L4K1Z8 CA,flagstoneporches.com,Landscaper,16475679248.0
1-401 ST PAUL RUE REPENTIGNY QC J5Z2H9 CA,atlasusedtrucks.com,Used Auto Parts Store,18772176615.0
121 ILSLEY AV DARTMOUTH NS B3B1S4 CA,adeptmanufacturingltd.ca,,19024317350.0
310-12206 224 ST MAPLE RIDGE BC V2X6B8 CA,newaydrainage.com,Plumber,17788351899.0
4919 ST JOSEPH RANG SAINTE-PERPÉTUE QC J0C1R0 CA,docteurdelamoto.com,Plastics Products,18193366307.0
470 NORTH RIVERMEDE ROAD CONCORD ON L4K3R8 CA,disabilitygroupcanada.com,Health & Medical Association,18888754787.0
2301 CENTRE ST N CALGARY AB T2E8N1 CA,centexpetroleum.com,Electric Vehicle Charging Station,"+14037523137,+14032734780,+14032301027"
596 DES TREMBLES QUÉBEC QC G3G2G1 CA,gncconstruction.ca,General Practice Attorneys,14182623736.0
27 RAY CRES GUELPH ON N1L0B6 CA,barburrito.ca,Latin American Restaurants,14166612572.0
5381 GUILLAUME COUTURE BOUL LÉVIS QC G6V4Z3 CA,nutritionanimalelevis.ca,Malls & Shopping Centers,14188375228
QC CA,maisonstjacques.com,Psychotherapist,15145264132.0
AB CA,united-graphics.ca,Signs & Commercial Screens,14032489292.0
1720 SAINT CHARLES DRUMMONDVILLE QC J2C4Z5 CA,innonox.ca,Building Material Manufacturers,18198504161.0
1115 MARION AVE WINDSOR ON N9A2J3 CA,modessi.ca,Decorators & Interior Designers,5195668217.0
2000-22091 FRASERWOOD WAY RICHMOND BC V6W1J5 CA,1010tires.com,"Breaks, Wheels & Tire Dealers",18778771010.0
56 TEMPERANCE ST TORONTO ON M5H3V5 CA,seamless.md,Corporate office,18004840378
3635 MANCHESTER RD SE CALGARY AB T2G3Z7 CA,calgaryinteriors.com,"Blinds, Curtains & Draperies",14032878663.0
202 AUGUSTA AVE TORONTO ON M5T2L6 CA,longboardliving.com,Newspapers & Magazines,14169017787.0
B-116 CORSTATE AVE VAUGHAN ON L4K4X2 CA,stclairglass.com,Glass & Mirror Stores,19057602233
508-294 PORTAGE AVE WINNIPEG MB R3C0B9 CA,204marketinggroup.ca,Digital & Marketing Agencies,7786973123.0
5 LAURIE CRES BARRIE,paradiselandscaping.build,Landscaping & Lawn Services,17052528563.0
115 HALL ST NELSON BC V1L7B4 CA,kootenaimoon.com,Furniture Stores,12503525530.0
3-38 ELORA DRIVE HAMILTON ON L9C7K3 CA,vikingbuilding.ca,Builder,19053887846.0
18 DOWDING RD PORT MOODY BC V3H2Z6 CA,jimsmowing.ca,Landscaping & Lawn Services,
3927 3A ST NE CALGARY AB T2E6S7 CA,ourmechanicinc.mechanicnet.com,Auto Services,14032777174
6102 46 ST OLDS AB T4H1M5 CA,napacanada.com,Auto Parts Store,4035563886.0
ON CA,f45training.ca,Gymnastics,14168077405.0
2545 DE LORIMIER LONGUEUIL QC J4K3P7 CA,groupebouda.com,Drywall & Insulation Contractors,18556626832.0
PO BOX 270 480 NORTH RD Gabriola Island BC V0R1X0 CA,intrascape.ca,,
6091 DUROCHER AV MONTRÉAL QC H2V3Y7 CA,protectfire.ca,"Alarms, Surveillance & Security Systems",15147183473.0
4106 ST. MARGARETS BAY RD HUBLEY NS B3Z1C2 CA,ccpeppercontracting.com,Construction Services,
4486 FERGUSON ST NIAGARA FALLS ON L2E2Y6 CA,schultzautomotive.com,Auto Services,15196552500.0
208-642 DE COURCELLE MONTRÉAL QC H4C3C5 CA,boostmi.com,Towing Wrecking & Roadside Assistance,18007804810.0
201 BLACK SCHOOL RD KAWARTHA LAKES ON K0M2T0 CA,taccleaningservice.ca,Pharmaceutical Products,17054328436
15 THIRD SIDE RD MILTON ON L9T2W5 CA,haltonbathrooms.com,Home Builders & Renovation Contractors,19058059047
3577 SAINT PAUL RANG SAGUENAY QC G7H0G7 CA,plomberieleduc.com,Plumbing Services,14182900872.0
179 PELLATT AVE TORONTO ON M9N2P5 CA,toronto-handyman-services.business.site,Handyman,14373450060.0
116 ORMSBY ROAD WEST RD NW EDMONTON AB T5T5T4 CA,powercc.ca,Carpet Cleaning,17803995578.0
1-234 CLEMENTS RD W AJAX ON L1S3K5 CA,iwcl.ca,Environmental health service,19054271193.0
350 DE LOUVAIN RUE O MONTREAL QC H2N2E8 CA,constructiontriplen.com,,
138 VANTAGE LOOP NEWMARKET,atlanticstucco.com,"Painting, Plastering & Wall Covering",
AB CA,clarityautoglass.ca,Other Building Material Retailers,14033416966.0
12711 FURNIVAL RD RODNEY ON N0L2C0 CA,in-the-hunt.com,"Motor Homes, Trailers & RVs - Dealers & Rentals",18554015933.0
AB CA,paintpotolds.wixsite.com,"Paints, Coatings, Dyes & Pigments",4035566222.0
1801-1 YONGE ST TORONTO ON M5G1W7 CA,isoplexinc.com,Meat Production & Processing,19055088084.0
10-3231 RIDEAU PL SW CALGARY AB T2S2T1 CA,littlegiant-studio.com,Architects & Architectural Services,12505806511.0
72 HARVEST HILLS DR NE CALGARY AB T3K3X4 CA,canmexservices.com,Concrete Work,15874366413.0
4771 ELENIAK RD NW EDMONTON AB T6B2N1 CA,canadasteelworks.ca,Business Consulting,17806809421.0
4520 DE LORIMIER AV MONTRÉAL QC H2H2B5 CA,entremetteuse.ca,Employment Agencies & HR Consulting,15146692921.0
201-645 ADONCOUR LONGUEUIL QC J4G2M6 CA,slogar.ca,Civil Law Attorney,18885279292.0
123 MAPLE DR BILLINGS ON P0P1J0 CA,jessicajurczynski.norwex.biz,,
850-18 INDUSTRIAL AV OTTAWA ON K1G6L9 CA,capitalfence.ca,Fences & Ornamental Metal Work,16137456252.0
94 GUELPH ST GEORGETOWN ON L7G3Z5 CA,jacknathanhealth.com,"Bicycle Shops, Parts & Accessories",14166372240.0
94 GUELPH ST GEORGETOWN ON L7G3Z5 CA,jacknathanhealth.com,"Bicycle Shops, Parts & Accessories",14166372240.0
657 BALSAM CRES OAKBANK,distinctspaces.com,,12044703847.0
120 MEADOWLAND WAY SPRUCE GROVE AB T7X0S4 CA,kevin-rowsell.squarespace.com,Concrete Work,7807163286.0
140 RED PINE ST THE BLUE MOUNTAINS ON L9Y0Z3 CA,simcoedecks.ca,Other Building Material Retailers,17052411141.0
680 MAURICE BOIS QUÉBEC QC G1M3G3 CA,vision-marine.qc.ca,Boats & Yachts Dealers,14186828803.0
3164 GAMMA ST VICTORIA BC V8Z6J6 CA,carstar.ca,Automobile Dealers & Manufacturers,18002277827.0
3164 GAMMA ST VICTORIA BC V8Z6J6 CA,carstar.ca,Automobile Dealers & Manufacturers,18002277827.0
428 BURNSIDE RD E VICTORIA,victorialampshade.com,Lighting Stores,16047334900.0
1-6143 4 ST SE CALGARY AB T2H2H9 CA,openroadmotorsllc.com,Automobile Dealers & Manufacturers,4032878656.0
ON CA,jdaent.com,Medical Laboratories,4164329606.0
503 70 AVE SW CALGARY AB T2V0P5 CA,ejmower.com,Garden Equipment & Supplies,14032598770.0
10 RUE DU VOLTIGEUR BLAINVILLE QC J7C5P4 CA,ibq.quebec,Distilleries & Malt Processing,15148354729.0
6287 BOULEVARD COUTURE MONTRÉAL QC H1P3G7 CA,olympiquec.com,"Sports & Leisure - Clubs, Fields & Pitches",15142743471.0
A-5280 DES LAURENTIDES BOUL LAVAL QC H7K2J8 CA,autosbb.com,Automobile Dealers & Manufacturers,5149526901.0
125 PORT FINDLAY RD DESBARATS ON P0R1E0 CA,villagebuildersnorth.ca,,17054444687.0
1700 VARSITY ESTATES DR NW CALGARY AB T3B2W9 CA,millenniumprotection.ca,Educational Consultants,14032888932
401 4 RANG SAINT-BERNARD-DE-MICHAUDVILLE QC J0H1C0 CA,sgaudette.com,Electrical & Wiring Contractors,14507922392
28 BROOKFIELD RD OAKVILLE ON L6K2Y5 CA,evandion.com,Photographers & Photographic Studios,14168898943
"STE 1001 AND 1002, 4500 KINGSWAY BURNABY BC V5H2A9 CA",crystaldental.com,Dentists & Dental Clinics,16044310431.0
290 ST-AIMÉ RUE LOUISEVILLE QC J5V2B4 CA,ebenisteriedsl.com,Electronical Components Retailer,18197211312.0
44046 3 WAINFLEET ON N0A1K0 CA,glonstruct.com,Wood Building Material Stores,
2-625 ZENWAY BLVD WOODBRIDGE,visionproducts.ca,Windows & Door Shops,18775509971.0
37 STIRLING MONTRÉAL QC H8R3N7 CA,gaznatmar.com,Office & Industrial Cleaning,14387963978.0
10060 JASPER AVE NW EDMONTON AB T5J3R8 CA,aandegroup.net,Architects & Architectural Services,17804349494
1710 MAIN ST W NORTH BAY ON P1B8G5 CA,signaturetire.ca,Tile Store,17054769744.0
214-459 PARIS RD BRANTFORD ON N3V0A4 CA,beechig.com,Construction Services,15193040953.0
200-10 GEORGE ST HAMILTON,georgestreetlawgroup.com,Insurance Law Attorneys,19055262111.0
NS CA,thedetailshopandcleaningcenter.ca,Car Washes,19025641656.0
711 TEMPLEMEAD DR HAMILTON ON L8W2V8 CA,somethingforeveryonegifts.com,Gift Shops,19055362453.0
181 EAST LAKE CRES NE AIRDRIE AB T4A2H7 CA,rvnation.ca,Watches & Jewelry Stores,14039456930.0
14-700 THIRD LINE OAKVILLE ON L6L4B1 CA,h2o4all.org,Water Supply & Water Treatment,19053306644.0
8502 165A ST SURREY BC V4N3H2 CA,biopest.ca,Pest Services & Agricultural Chemicals,16045749928.0
4729 47 ST OLDS AB T4H1C7 CA,uptownoldsmassage.com,Massage Therapists,
2 MAIN ST BRANTFORD ON N3R3X2 CA,ringuettewindowsanddoors.ca,Windows & Door Shops,15197576361
750-2 ROBERT SPECK PKY MISSISSAUGA ON L4Z1H8 CA,secbustersinc.com,Security Guards & Patrol Services,18664164225.0
11031 72 ST SE CALGARY AB T2C3G2 CA,briansab.ca,Garbage Collection & Waste Disposal,14032354335.0
1572 LITCHFIELD RD OAKVILLE,matryx.ca,Health & Medical Publications,19056160847.0
BOX 7700 BONNYVILLE AB T9N1J1 CA,coldlakechrysler.ca,Automobile Dealers & Manufacturers,18559552143.0
16 ORMOND ST S THOROLD ON L2V1Y1 CA,riganellibakery.ca,Bakeries & Desserts,19052271156.0
350 ELVIN DRUMMONDVILLE QC J2A1T3 CA,made-intl.com,Social Services & NGOs,18198503189.0
16573 84 AVE SURREY BC V4N3H3 CA,soldbyteamsm.com,Tanning Salons,16047003475.0
6582 APPLECROSS RD NANAIMO BC V9V0A4 CA,simonholt.ca,Restaurant,12509333338.0
35 SHERRING CRES OTTAWA ON K2K2T2 CA,mintandhoney.ca,Coffee & Tea Shops,
957 STE-MARIE RUE MARIEVILLE,osgmecanique.ca,Auto Services,15149795559.0
202 RUE NOTRE DAME L'EPIPHANIE QC J5X2W4 CA,convoyeursdugas.com,Heavy Construction Equipment,15149738119.0
80 SUMMERBERRY WAY HAMILTON ON L9B0G1 CA,kayokokoswimwear.ca,,16789101112.0
"1 RICHMOND, 5TH FLOOR ST W TORONTO ON M5H3W4 CA",swiftmedical.com,Software Development Services,18887552565.0
1133 COTTONWOOD AVE COQUITLAM BC V3J2T4 CA,pedroncontracting.com,Asphalt & Paving Services,16049368484.0
4-482 SPRINGBANK AVE N WOODSTOCK ON N4T1K7 CA,thinkimage.ca,Signs & Commercial Screens,15192903222.0
4809 17 AVE SE CALGARY AB T2A0V3 CA,alltranauto.com,Auto Parts Manufacturers,14032728696
2311 BLOOR ST W TORONTO ON M6S1P1 CA,footsensation.ca,Shoes & Other Footwear Stores,16474351240.0
277 NOTRE DAME RUE DRUMMONDVILLE QC J2C2L8 CA,marche-omni.ca,"Missiles, Explosives & Fireworks",15143248254.0
821 RUE VERCHERES LONGUEUIL QC J4K2Y8 CA,usinagelc.com,Welding Services,14506705860.0
14 CEDAR ST AJAX,durhamcardetailing.com,Auto Dent Removal Service,14165091336.0
999 LANSDOWNE ST W PETERBOROUGH ON K9J8N2 CA,vintnerswines.ca,Wine Shops & Wineries,17057413767.0
14847 DEER RUN DR SE CALGARY AB T2J5X2 CA,landofdaughters.com,Food & Beverage Publications,
105-10625 RACETTE E MONTREAL QC H1G5H3 CA,ceramique100facons.com,Clothing Stores,5144957828.0
378 SAINT PAUL CÔTE SAINT COLOMBON QC J5K1Z7 CA,couvretoitmirabel.com,Drywall & Insulation Contractors,14508068357.0
41 VICTORIA ST WELLAND ON L3B4L7 CA,nwec.ca,Bakeries & Desserts,19056580318.0
1385 KINGSWAY PORT COQUITLAM BC V3C1S2 CA,beccocrane.com,Heavy Construction Equipment,16043516049.0
478 WATERLOO ST LONDON ON N6B2P6 CA,menearlaw.com,Divorce & Family Law Attorneys,15196727370.0
4130 STEWARTS LANE SEVERN,onyourwaymarine.ca,Boats & Yachts Dealers,17052590089.0
3450 BROADWAY W VANCOUVER BC V6R2B3 CA,stem2space.com,,6042592001.0
24 MARIELLE PRIMEAU MERCIER QC J6R0E6 CA,maconnerieparentetfils.com,Masonry Contractors,15146864455.0
613 MILLSTREAM LAKE RD VICTORIA BC V9B6H5 CA,beemershop.com,Motorcycle Dealers & Rentals,18314381100.0
BC CA,concurwest.com,,16045405088.0
5-7681 HWY 27 VAUGHAN ON L4L4M5 CA,redwoodhotels.ca,,19058563344.0
9828 47 AVE NW EDMONTON AB T6E5P3 CA,wheels-plus.com,,17804350404.0
1154 CLYDE CRT KINGSTON ON K7P2E4 CA,kingstonhomeheating.ca,HVAC contractor,16133895544.0
1315 NORTH MAIN ST WESTVILLE NS B0K2A0 CA,arbuckles.ca,Towing Wrecking & Roadside Assistance,19023961919.0
ON CA,portdoverservicecentre.mechanicnet.com,Sailing Club,5195830996.0
BC CA,abbyspring.com,Auto Parts Store,16045041944.0
1337 MATHESON BLVD E MISSISSAUGA ON L4W1R1 CA,heartfulness.org,Meditation & Retreat Centers,18448794327.0
1337 MATHESON BLVD E MISSISSAUGA ON L4W1R1 CA,heartfulness.org,Meditation & Retreat Centers,18448794327.0
108 ASPERMONT CRES BRAMPTON ON L6P3Z4 CA,digitalintech.com,Office Supplies,14168873926.0
108 ASPERMONT CRES BRAMPTON ON L6P3Z4 CA,digitalintech.com,Office Supplies,14168873926.0
PO Box 3168 REVELSTOKE BC V0E1S0 CA,woolseycreekbistro.ca,Wine Shops & Wineries,12508375500.0
ON CA,icimarbleandtile.ca,Flooring Contractors,15196500072.0
114-4800 SHPPARD AV E TORONO ON M1S4N5 CA,ecovacindustrial.com,,496171000000.0
2235 2 AVE DUNMORE,lmtlandscaping.ca,Landscaping & Lawn Services,14035276250.0
782 KLAHANIE DR KAMLOOPS BC V2C5B1 CA,vividautodetail.wordpress.com,,2505745181.0
3065 INDUSTRIEL BLVD LAVAL QC H7L4P8 CA,montquip.com,Commercial Printing,14506612162.0
2-200 EDGELEY BLVD CONCORD ON L4K3Y8 CA,vitalita.ca,Wine Shops & Wineries,14167224460.0
555 CHABANEL O MONTRÉAL QC H2N2H7 CA,montvr.com,,18666688764.0
164 B BEAULAC RUE GATINEAU QC J9H6Z5 CA,jusmisspress.com,Bakeries & Desserts,
5727 / 5729 - 92 ST EDMONTON,dlrvinylproducts.ca,Fences & Ornamental Metal Work,14032655260.0
3000-10923 38 ST NE CALGARY AB T3N1E7 CA,expresslubeandtire.com,"Breaks, Wheels & Tire Dealers",15878944100.0
824 FORT STREET VICTORIA,caspianorientalcarpets.com,"Carpets, Rugs & Other Floor Covers",12503833434.0
824 FORT STREET VICTORIA,caspianorientalcarpets.com,"Carpets, Rugs & Other Floor Covers",12503833434.0
2-150 EDMONTON AVE MONCTON NB E1C3B9 CA,solesolution.ca,Shoes & Other Footwear Stores,15063893788.0
9222 KEELE ST VAUGHAN ON L4K5A3 CA,cozytime.ca,Day care center,14166023811.0
136 CHRISTINA ST N SARNIA ON N7T5T9 CA,tmrrwinc.ca,Digital & Marketing Agencies,15193310256
136 CHRISTINA ST N SARNIA ON N7T5T9 CA,tmrrwinc.ca,Digital & Marketing Agencies,15193310256
PO BOX 4731 ROTHESAY,selectkitchens.ca,Home Builders & Renovation Contractors,15068471171.0
3596 ST CLAIR AVE E TORONTO ON M1K1M2 CA,khfireworks.ca,"Missiles, Explosives & Fireworks",15199792471.0
4719 KEVERE RD VICTORIA BC V9C4G1 CA,islandprorenovations.ca,"Painting, Plastering & Wall Covering",12508939164.0
300-1275 6 AVE VANCOUVER BC V6H1A6 CA,bentleycleaners.ca,Office & Industrial Cleaning,16047169737.0
A-120 DAOUST RUE SAINT-EUSTACHE QC J7R6S6 CA,gravuresdesmarais.com,Packing & Sealing Devices & Materials,18445887668.0
13A-5270 AUTO RD SE SALMON ARM BC V1E1X3 CA,hardrockgranite.com,"Marble, Granite & Stone Products",12508324341.0
ON CA,exceedrobotics.com,Computer Training Schools,18443392333.0
502-10 KING ST E TORONTO ON M5C1C3 CA,cpqi.com,Business Consulting,16473462773.0
ON CA,timthehandyman.ca,Handyman Services,18196655912.0
6827 CHEMIN ROYAL SAINT-LAURENT-DE-L'ÎLE-D'ORLÉANS QC G0A3Z0 CA,cld.iledorleans.com,,4188281859.0
10-774 RYE ST PETERBOROUGH ON K9J6W9 CA,peterborough.fullypromoted.ca,Firewood Supplier,17057429994
672 LANGLAW DR CAMBRIDGE,optimalheatingandcooling.business.site,Heating & Air Conditioning,12266063250.0
1942 WYANDOTTE ST E WINDSOR ON N8Y1E4 CA,acwr.net,Art Galleries,15192522787
4331 OIL HERITAGE RD PETROLIA ON N0N1R0 CA,completeturf.com,Golf Cart Dealers,18002659896.0
A203-1001 LENOIR RUE MONTREAL QC H4C2Z6 CA,squeezestudio.com,Animation studio,18444761786.0
213-3275 DE L'INDUSTRIE RUE SAINT-MATHIEU DE BELOEIL,cdedq.com,Shipping Couriers,14503766677.0
14-1730 BROADWAY ST PORT COQUITLAM BC V3C2M8 CA,artrageousscreenprinting.com,Commercial Printing,16049421142.0
130-1020 RUE BOUVIER QUEBEC QC G2K0K9 CA,oeilsec.ca,Occupational Therapy,18446345732.0
300 & 301-126 YORK ST OTTAWA ON K1N5T5 CA,micrometrics.com,Tech Companies,18552552005.0
7-650 CLYDE AVE WEST VANCOUVER BC V7T1E2 CA,livingoceans.org,Environmental Engineering Services,12509736580.0
"R.R. #3, SALT SPRINGS PICTOU COUNTY NS B0K1P0 CA",atlastesting.ca,,19023012521.0
5 WILLOW CRES MONO ON L9W6L4 CA,euphoriacafeorangeville.ca,Coffee & Tea Shops,15199385554.0
2010 FEATHERSTON DR OTTAWA,shillowbeer.com,,16478366629.0
201A-61 ALNESS ST TORONTO ON M3J2H2 CA,nbydesigns.com,Decorators & Interior Designers,16473526629.0
41 SHORTING RD TORONTO ON M1S3V3 CA,vicsgroup.com,Company,14163353299.0
8963 HWY 93 MIDLAND ON L4R4K4 CA,eventhorizonhobbies.com,Hobby Shops,17055291791.0
2200 DUNDAS ST W TORONTO ON M6R1X3 CA,jessyspizza.ca,Italian Restaurants,15064491155.0
ON CA,nhcycle.ca,ATV dealer,15196621875
99 YORK ST KINGSTON ON K7K1P9 CA,kingstoncommunityhouse.org,Community Center,13433336412
9-25 EAST LAKE CIR NE AIRDRIE AB T4A2J9 CA,precisionmotorworx.ca,Auto Services,15876003635.0
90 WOODSIDE LANE FREDERICTON NB E3C2R9 CA,mosshacheylaw.com,Insurance Law Attorneys,15063002072.0
200-70 THE ESPLANADE TORONTO ON M5E1M1 CA,roserocket.com,Software Development Services,18889190092
91 KING ST BARRIE ON L4N6B5 CA,davisstudwelding.com,Welding Services,18557202977.0
ON CA,omegaflames.com,"Minerals, Earths & Ores",19052652469.0
51 BEDFIELD CLOSE NE CALGARY AB T3K3L3 CA,valleyfloorsinc.ca,Flooring Contractors,15873528666.0
ON CA,artbase.com,,12126756399.0
1118 YONGE ST TORONTO ON M4W2L6 CA,carensrosedale.com,Restaurants,16473528111
458 PRINCIPALE SAINT-PAMPHILE QC G0R3X0 CA,clsports.ca,ATVs Dealers & Services,14183563350.0
807-51 EAST LIBERTY ST TORONTO ON M6K3P8 CA,boatworksinthe6ix.ca,Boats & Yachts Repair Shops,14165362628.0
PO 115-2833 16 AV MARKHAM ON L3R0P8 CA,clspc.ca,Civil Law Attorney,14379939711.0
1042 DE LESCALADE RUE SAINT-JÉRÔME QC J5L2S5 CA,gilgaconstruction.ca,Construction Services,18198273399.0
170 DIVISION ST KINGSTON ON K7L3M8 CA,fatbastardburrito.ca,Fast food Restaurants,16479497999.0
C127-10025 102A SW EDMONTON AB T5J2Z2 CA,1992sharetea.com,Coffee & Tea Shops,886989000000.0
2 OLD RD CONCEPTION HARBOUR NL A0A1Z0 CA,wildislandtea.ca,Valet Services & Parking Lots,
10-170 JOSEPH ZATSMAN DR DARTMOUTH NS B3B1L9 CA,novascotiagenerators.com,Solar Energy Services,19028600081.0
105-5089 QUEBEC ST VANCOUVER BC V5W0E5 CA,movesmedia.com,Digital & Marketing Agencies,17789893059.0
18 BEARBURY DR TORONTO ON M9C2G9 CA,collinsoninteriors.com,Kitchen Furniture & Equipment,14162332960.0
18 BEARBURY DR TORONTO ON M9C2G9 CA,collinsoninteriors.com,Kitchen Furniture & Equipment,14162332960.0
ON CA,bwdhandyman.ca,Home Builders & Renovation Contractors,15192724820.0
10-4503 SOUTH AVE ELIZABETHTOWN-KITLEY ON K6T1A8 CA,seawaydg.ca,Watches & Jewelry Stores,16137048797.0
430 CEDAR POINT RD TINY ON L9M1R3 CA,floorstiles.com,Flooring Contractors,12406830011.0
NB CA,truckstopplus.ca,Auto Parts Manufacturers,15063171038.0
112 GARDENBROOKE TRAIL BRAMPTON ON L6P3G9 CA,realmelectricllc.com,Electrical & Wiring Contractors,16514600122.0
CP8201 GASCON CH LACHENAIE QC J6X4B2 CA,dimensionelectrique.com,Real Estate Valuations & Home Inspection,14504775590.0
127 KIRKVALLEY CRES AURORA,ctdavdesignsolutions.ca,Audio visual consultant,14377036471.0
459 LAKESHORE DR SHUNIAH ON P7A0P9 CA,bgcontracting.ca,,18073552679.0
801 PÉLADEAU RUE LAVAL QC H7K0C9 CA,cfromanoinc.com,Waterproofing Services,15142415726.0
10170 KENSWOOD DR CHILLIWACK BC V2P7N7 CA,cottonwoodcottage.ca,Senior Care and Assisted Living Facilities,16043160178.0
39 BÉDARD RUE DOLBEAU-MISTASSINI QC G8L3V6 CA,ldemerselectrique.com,Electrical & Wiring Contractors,14182763703.0
BC CA,paradisecinemas.com,Cinemas & Video Theaters,12503924722.0
2442 MARINE DR WEST VANCOUVER BC V7V1L1 CA,bauersframing.ca,Picture Framing,16049259711.0
432 NORFOLK ST S SIMCOE ON N3Y2X2 CA,mastermechanic.ca,Auto Services,19058202552.0
2 MONTEITH CRES VAUGHAN ON L6A3M7 CA,5150reno.ca,Home Builders & Renovation Contractors,14162747922.0
1860 DEMERS CH LÉVIS QC G7A2N3 CA,eagleeyechronos.com,Employment Agencies & HR Consulting,14189975084
389-5991 SPRING GARDEN RD HALIFAX NS B3H1Y6 CA,endo-tech.com,Medical Supply Manufacturers,4292257.0
1980 MICHELIN RUE LAVAL QC H7L5C2 CA,accesresidences.com,Real Estate Rental,18553602100.0
243 RIDGEWOOD CRES LONDON ON N6J3G7 CA,simplybydesign.ca,Home Builders & Renovation Contractors,5198781864.0
1 SUNRISE DRIVE NORTH - ULTIMATE DESTINATIONS SKYVIEW ESTATES SK S7C0A6 CA,ultimate-destinations.ca,,13064924581.0
7 CRESTON CRES NW CALGARY AB T2M4J9 CA,jessielanaway.com,Wedding Photographers,4038278247.0
147 ST LAWRENCE STREET PO BOX 344 ST MERRICKVILLE-WOLFORD ON K0G1N0 CA,anarchygallery.com,Art Galleries,
7283 NELSON AVE BURNABY BC V5J4C2 CA,absorbentmindsmontessori.ca,Montessori Schools,16044332144.0
201-110 EGLINTON AVE W TORONTO ON M4R1A3 CA,cfee.org,Social Services & NGOs,15148173941.0
13811 DEER RIDGE DR SE CALGARY AB T2J6S7 CA,barnsleypipeorgans.com,Musical Instruments & Music Stores,15872174225.0
227 COMMERICAL ST BERWICK NS B0P1E0 CA,shelf-life-used-books.business.site,Underwear & Lingerie,19026787373.0
ON CA,simplysmarthome.ca,Heating & Air Conditioning,18552277234.0
19 TESSIER LACHUTE QC J8H4N1 CA,vapesolution.ca,Vaporizer Stores,16136321876.0
3 NANOOK CRES OTTAWA ON K2L2A6 CA,incarelectronics.ca,"Breaks, Wheels & Tire Dealers",16132290773.0
5010 39 ST LLOYDMINSTER AB T9V2Y8 CA,cpulloyd.ca,Italian Restaurants,17808705995.0
4005 157A AVE NW EDMONTON AB T5Y0A4 CA,epochelectric.ca,Electrical & Wiring Contractors,17809015787.0
43 SAINT EUGENE VARENNES QC J3X1E3 CA,regardaction.com,Ophthalmic & Optical Instruments & Lenses,18885229389.0
2138 AVE VALOIS MONTRÉAL QC H1W3M5 CA,boutique.atoutplus.com,Associations,15142534481
16160 RIVER RD RICHMOND BC V6V1L6 CA,metrotires.ca,"Breaks, Wheels & Tire Dealers",16043219004.0
10391 SPRINGWOOD CRES RICHMOND BC V7E1X5 CA,buildingspace.ca,Cosmetic Manufacturing,16047265839.0
220-2795 BOULEVARD LAURIER QUÉBEC QC G1V4M7 CA,gdaec.ca,Real Estate Valuations & Home Inspection,14186501459.0
305 LIBERTÉ AV CANDIAC QC J5R6Z7 CA,duropac.com,Investment Consultants & Financial Advisors,18773622552.0
304-4 SILVER MAPLE CRT BRAMPTON ON L6T4R2 CA,bluehousephotos.ca,Wedding Photographers,12262010717.0
15 EMERALD HEIGHTS DR WHITCHURCH-STOUFFVILLE ON L4A0C8 CA,binspiredfinance.com,Employment Agencies & HR Consulting,14166665058
603-7015 MACLEOD TRAIL SW CALGARY AB T2H2K6 CA,linearlogistics.ca,Trucking and Logistics,15873535454.0
120 LEMARCHANT RD ST. JOHN'S NL A1C2H2 CA,ufcw.ca,Senior Care and Assisted Living Facilities,12345678910.0
